Date : 2022-02-10 22:06:21
Directory : c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder
Total : 717 files,  144307 codes, 26065 comments, 18386 blanks, all 188758 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\modelsAthletica1\stadion.js                    | JavaScript         |         37 |          1 |          2 |         40 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\modelsAthletica1\staffel.js                    | JavaScript         |         47 |          1 |          2 |         50 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\modelsAthletica1\staffelathlet.js              | JavaScript         |         29 |          1 |          2 |         32 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\modelsAthletica1\start.js                      | JavaScript         |         66 |          1 |          2 |         69 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\modelsAthletica1\sys_backuptabellen.js         | JavaScript         |         20 |          1 |          2 |         23 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\modelsAthletica1\team.js                       | JavaScript         |         42 |          1 |          2 |         45 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\modelsAthletica1\teamsm.js                     | JavaScript         |         57 |          1 |          2 |         60 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\modelsAthletica1\teamsmathlet.js               | JavaScript         |         18 |          1 |          2 |         21 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\modelsAthletica1\verein.js                     | JavaScript         |         33 |          1 |          2 |         36 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\modelsAthletica1\videowand.js                  | JavaScript         |         65 |          1 |          2 |         68 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\modelsAthletica1\wertungstabelle.js            | JavaScript         |         17 |          1 |          2 |         20 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\modelsAthletica1\wertungstabelle_punkte.js     | JavaScript         |         37 |          1 |          2 |         40 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\modelsAthletica1\wettkampf.js                  | JavaScript         |        101 |          1 |          2 |        104 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\modelsAthletica1\zeitmessung.js                | JavaScript         |         87 |          1 |          2 |         90 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models\athletes.js                             | JavaScript         |         68 |          1 |          2 |         71 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models\categories.js                           | JavaScript         |         48 |          1 |          2 |         51 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models\clubs.js                                | JavaScript         |         33 |          1 |          2 |         36 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models\combinedevents.js                       | JavaScript         |         48 |          1 |          2 |         51 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models\competitions.js                         | JavaScript         |         35 |          1 |          2 |         38 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models\contests.js                             | JavaScript         |         40 |          1 |          2 |         43 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models\conversionparams.js                     | JavaScript         |         29 |          1 |          2 |         32 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models\conversions.js                          | JavaScript         |         22 |          1 |          2 |         25 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models\countries.js                            | JavaScript         |         21 |          1 |          2 |         24 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models\disciplines.js                          | JavaScript         |         67 |          1 |          2 |         70 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models\disciplineslocalizations.js             | JavaScript         |         33 |          1 |          2 |         36 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models\disciplinesonsite.js                    | JavaScript         |         30 |          1 |          2 |         33 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models\events.js                               | JavaScript         |         71 |          1 |          2 |         74 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models\eventsgroups.js                         | JavaScript         |         40 |          1 |          2 |         43 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models\heightincreases.js                      | JavaScript         |         29 |          1 |          2 |         32 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models\heights.js                              | JavaScript         |         29 |          1 |          2 |         32 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models\inscription_athletes.js                 | JavaScript         |         24 |          1 |          2 |         27 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models\inscription_relays.js                   | JavaScript         |         24 |          1 |          2 |         27 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models\inscriptions.js                         | JavaScript         |         35 |          1 |          2 |         38 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models\meetings.js                             | JavaScript         |         74 |          1 |          2 |         77 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models\modules.js                              | JavaScript         |         26 |          1 |          2 |         29 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models\qualifications.js                       | JavaScript         |         38 |          1 |          2 |         41 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models\regions.js                              | JavaScript         |         32 |          1 |          2 |         35 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models\relayathletepositions.js                | JavaScript         |         28 |          1 |          2 |         31 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models\relays.js                               | JavaScript         |         42 |          1 |          2 |         45 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models\relaysathletes.js                       | JavaScript         |         30 |          1 |          2 |         33 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models\results.js                              | JavaScript         |         30 |          1 |          2 |         33 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models\resultshigh.js                          | JavaScript         |         46 |          1 |          2 |         49 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models\resultstech.js                          | JavaScript         |         30 |          1 |          2 |         33 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models\resultstechwind.js                      | JavaScript         |         35 |          1 |          2 |         38 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models\resultstrack.js                         | JavaScript         |         19 |          1 |          2 |         22 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models\rounds.js                               | JavaScript         |         55 |          1 |          2 |         58 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models\rounds_high.js                          | JavaScript         |         17 |          1 |          2 |         20 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models\rounds_tech.js                          | JavaScript         |         45 |          1 |          2 |         48 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models\rounds_track.js                         | JavaScript         |         25 |          1 |          2 |         28 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models\series.js                               | JavaScript         |         43 |          1 |          2 |         46 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models\series_track.js                         | JavaScript         |         30 |          1 |          2 |         33 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models\seriesstarts.js                         | JavaScript         |         35 |          1 |          2 |         38 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models\seriesstarts_high.js                    | JavaScript         |         20 |          1 |          2 |         23 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models\seriesstarts_track.js                   | JavaScript         |         19 |          1 |          2 |         22 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models\sites.js                                | JavaScript         |         36 |          1 |          2 |         39 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models\sites_track.js                          | JavaScript         |         36 |          1 |          2 |         39 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models\stadiums.js                             | JavaScript         |         27 |          1 |          2 |         30 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models\starts.js                               | JavaScript         |         55 |          1 |          2 |         58 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models\teaminscriptions.js                     | JavaScript         |         33 |          1 |          2 |         36 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models\teams.js                                | JavaScript         |         39 |          1 |          2 |         42 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models_live\accounts.js                        | JavaScript         |         24 |          1 |          2 |         27 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models_live\categories.js                      | JavaScript         |         33 |          1 |          2 |         36 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models_live\inscriptions.js                    | JavaScript         |         69 |          1 |          2 |         72 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models_live\meetings.js                        | JavaScript         |         37 |          1 |          2 |         40 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models_live\serverclients.js                   | JavaScript         |         45 |          1 |          2 |         48 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models_old\athletes.js                         | JavaScript         |         68 |          1 |          2 |         71 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models_old\categories.js                       | JavaScript         |         48 |          1 |          2 |         51 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models_old\clubs.js                            | JavaScript         |         33 |          1 |          2 |         36 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models_old\combinedevents.js                   | JavaScript         |         48 |          1 |          2 |         51 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models_old\competitions.js                     | JavaScript         |         35 |          1 |          2 |         38 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models_old\contests.js                         | JavaScript         |         40 |          1 |          2 |         43 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models_old\conversionparams.js                 | JavaScript         |         29 |          1 |          2 |         32 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models_old\conversions.js                      | JavaScript         |         22 |          1 |          2 |         25 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models_old\countries.js                        | JavaScript         |         21 |          1 |          2 |         24 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models_old\disciplines.js                      | JavaScript         |         67 |          1 |          2 |         70 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models_old\disciplineslocalizations.js         | JavaScript         |         33 |          1 |          2 |         36 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models_old\disciplinesonsite.js                | JavaScript         |         30 |          1 |          2 |         33 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models_old\events.js                           | JavaScript         |         71 |          1 |          2 |         74 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models_old\eventsgroups.js                     | JavaScript         |         40 |          1 |          2 |         43 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models_old\heightincreases.js                  | JavaScript         |         29 |          1 |          2 |         32 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models_old\heights.js                          | JavaScript         |         29 |          1 |          2 |         32 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models_old\inscription_athletes.js             | JavaScript         |         24 |          1 |          2 |         27 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models_old\inscription_relays.js               | JavaScript         |         24 |          1 |          2 |         27 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models_old\inscriptions.js                     | JavaScript         |         35 |          1 |          2 |         38 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models_old\meetings.js                         | JavaScript         |         74 |          1 |          2 |         77 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models_old\modules.js                          | JavaScript         |         26 |          1 |          2 |         29 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models_old\qualifications.js                   | JavaScript         |         38 |          1 |          2 |         41 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models_old\regions.js                          | JavaScript         |         32 |          1 |          2 |         35 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models_old\relayathletepositions.js            | JavaScript         |         28 |          1 |          2 |         31 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models_old\relays.js                           | JavaScript         |         42 |          1 |          2 |         45 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models_old\relaysathletes.js                   | JavaScript         |         30 |          1 |          2 |         33 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models_old\results.js                          | JavaScript         |         30 |          1 |          2 |         33 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models_old\resultshigh.js                      | JavaScript         |         46 |          1 |          2 |         49 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models_old\resultstech.js                      | JavaScript         |         30 |          1 |          2 |         33 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models_old\resultstechwind.js                  | JavaScript         |         35 |          1 |          2 |         38 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models_old\resultstrack.js                     | JavaScript         |         19 |          1 |          2 |         22 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models_old\rounds.js                           | JavaScript         |         55 |          1 |          2 |         58 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models_old\rounds_high.js                      | JavaScript         |         17 |          1 |          2 |         20 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models_old\rounds_tech.js                      | JavaScript         |         45 |          1 |          2 |         48 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models_old\rounds_track.js                     | JavaScript         |         25 |          1 |          2 |         28 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models_old\series.js                           | JavaScript         |         43 |          1 |          2 |         46 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models_old\series_track.js                     | JavaScript         |         30 |          1 |          2 |         33 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models_old\seriesstarts.js                     | JavaScript         |         35 |          1 |          2 |         38 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models_old\seriesstarts_high.js                | JavaScript         |         20 |          1 |          2 |         23 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models_old\seriesstarts_track.js               | JavaScript         |         19 |          1 |          2 |         22 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models_old\sites.js                            | JavaScript         |         36 |          1 |          2 |         39 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models_old\sites_track.js                      | JavaScript         |         36 |          1 |          2 |         39 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models_old\stadiums.js                         | JavaScript         |         27 |          1 |          2 |         30 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models_old\starts.js                           | JavaScript         |         55 |          1 |          2 |         58 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models_old\teaminscriptions.js                 | JavaScript         |         33 |          1 |          2 |         36 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\models_old\teams.js                            | JavaScript         |         39 |          1 |          2 |         42 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\roomBaseClient.js                                                 | JavaScript         |          9 |         33 |         21 |         63 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\wsExtension 2021-03 2\wsExtension.cjs                             | JavaScript         |        411 |        419 |        211 |      1,041 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\wsExtension 2021-03 2\wsExtensionClient.js                        | JavaScript         |        411 |        419 |        211 |      1,041 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\wsExtension 2021-03-29\wsExtension.cjs                            | JavaScript         |        500 |        454 |        246 |      1,200 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\wsExtension 2021-03-29\wsExtensionClient.js                       | JavaScript         |        500 |        454 |        246 |      1,200 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\wsExtension before heartbeat\testServerWsExtension.cjs            | JavaScript         |        338 |        481 |        213 |      1,032 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\wsExtension before heartbeat\testWsExtension.html                 | HTML               |        437 |          5 |        124 |        566 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\wsExtension before heartbeat\wsExtension2019-09-15.js             | JavaScript         |        179 |        246 |         68 |        493 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\wsExtension before heartbeat\wsExtensionClient2019-09-15.js       | JavaScript         |        179 |        245 |         68 |        492 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\wsExtension before heartbeat\wsExtensionClientOldSynAck.js        | JavaScript         |        180 |        176 |         68 |        424 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\wsExtension before heartbeat\wsExtensionOldSynAck.js              | JavaScript         |        183 |        187 |         71 |        441 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\wsExtension with heartbeat 2021-03\wsExtension.cjs                | JavaScript         |        618 |        570 |        291 |      1,479 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\wsExtension with heartbeat 2021-03\wsExtensionClient.js           | JavaScript         |        618 |        572 |        291 |      1,481 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\DomHandler.js                                                            | JavaScript         |        409 |          4 |         90 |        503 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Router.cjs                                                               | JavaScript         |         37 |         61 |         33 |        131 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\SequelizeTests.cjs                                                       | JavaScript         |         52 |         57 |         24 |        133 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Server.cjs                                                               | JavaScript         |        554 |        669 |        315 |      1,538 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Server.js                                                                | JavaScript         |        658 |        807 |        365 |      1,830 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\athleticaSql\disziplin_de.sql                                            | SQL                |        199 |         18 |         10 |        227 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\athleticaSql\disziplin_en_foreign_athletes.sql                           | SQL                |        176 |         18 |         10 |        204 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\athleticaSql\disziplin_fr.sql                                            | SQL                |        199 |         18 |         10 |        227 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\athleticaSql\disziplin_it.sql                                            | SQL                |        199 |         18 |         10 |        227 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\athleticaSql\kategorie.sql                                               | SQL                |         60 |         18 |         10 |         88 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\athleticaSql\kategorie_svm.sql                                           | SQL                |         54 |         18 |         10 |         82 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\athleticaSql\kategoriemod.sql                                            | SQL                |         59 |         18 |         10 |         87 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\athleticaSql\land.sql                                                    | SQL                |        222 |         18 |         10 |        250 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\athleticaSql\region.sql                                                  | SQL                |         41 |         18 |         10 |         69 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\athleticaSql\rundentyp_de.sql                                            | SQL                |         25 |         18 |         10 |         53 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\athleticaSql\rundentyp_fr.sql                                            | SQL                |         25 |         18 |         10 |         53 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\athleticaSql\rundentyp_it.sql                                            | SQL                |         25 |         18 |         10 |         53 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\backupRestoreTest.js                                                     | JavaScript         |         59 |         15 |         14 |         88 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\common.js                                                                | JavaScript         |         20 |          4 |          2 |         26 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\conf.js                                                                  | JavaScript         |         33 |         15 |          9 |         57 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\defaultData - Kopie.sql                                                  | SQL                |        271 |         11 |         19 |        301 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\defaultData pre2021-05.sql                                               | SQL                |        262 |         10 |         18 |        290 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\defaultData.sql                                                          | SQL                |        269 |         11 |         19 |        299 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\doc\assets\behavior.js                                                   | JavaScript         |        372 |          1 |         26 |        399 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\doc\assets\style.css                                                     | CSS                |          1 |          0 |          1 |          2 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\doc\roomServer.html                                                      | HTML               |        992 |          0 |         86 |      1,078 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\doc\textMaskDoc.md                                                       | Markdown           |        186 |          0 |         77 |        263 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\emptyAdminDB.sql                                                         | SQL                |         86 |         38 |         16 |        140 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\emptyDB - Original pre2021-05.sql                                        | SQL                |        723 |        149 |         90 |        962 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\emptyDB pre2021-05.sql                                                   | SQL                |        707 |        146 |         92 |        945 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\emptyDB.sql                                                              | SQL                |        747 |        152 |         92 |        991 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\eventHandling1.cjs                                                       | JavaScript         |         56 |         45 |         10 |        111 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\eventHandling2.cjs                                                       | JavaScript         |         56 |         46 |         13 |        115 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\eventHandling2.js                                                        | JavaScript         |         58 |         45 |         13 |        116 |
